Å,Ao
µg-at,n{molecule}
µ,u
±,{StandardDeviation}
°C,Cel
°,deg
years,a
year,a
yd3,[cyd_i]
yd2,[syd_i]
y,a
weeks,wk
week,wk
vol,{v}
time,a
tenths,10*-1
tablet,{tablet}
seconds,s
second,s
ru,[arb'U]
rmcd,m{rmcd}
quanta,{quanta}
psi,[psi]
protein,{protein}
pptv,[pptr]{v}
ppt,[pptr]
ppmv,[ppm]{v}
ppm,[ppm]
ppbv,[ppb]{v}
polyp,{polyp}
pixel,n{pixel}
photons,{photons}
phi,[phi]
pMC,[pMC]
oersted,Oe
octa,[octa]
n-alkanes,{n-alkanes}
months,mo
month,mo
molec,n{molecule}
mmHg,mm[Hg]
mg CO2,mg{CO2}
lux,lx
lbf,[lbf_av]
ions,{ions}
inch,[in_i]
in3,[cin_i]
in2,[sin_i]
hr,h
hours,h
hour,h
gAPI,[API]
ft3,[cft_i]
ft2,[sft_i]
field,{field}
female,n{female}
feet,[ft_i]
emu,[emu]
electrons,{electron}
electron,{electron}
degR,[degR]
DegC,Cel
degC,Cel
dry weight %,%{drymass}
dpm,[dpm]
degF,[degF]
days,d
day,d
d2Theta,deg
cts,n{photon}
crmcd,m{crmcd}
cps,[cps]
cpm,[cpm]
counts/min,[cpm]
count/min,[cpm]
code,{code}
btu,[Btu]
bpm,{beat}/min
bp,[bp]
b2k,{b2k}
atoms,n{atoms}
atm,{atmosphere}
armcd,m{armcd}
arbitrary units,[arb'U]
arbitrary light units,[arb'U]
amcd,m{amcd}
ambsf,m{ambsf}
MT,{MT}
HC,{hydrocarbon}
H2O,{H2O}
FTU,{FTU}
FMS,{FMS}
EU,[ETU]
DU,[DU]
Chl a,{chlorophyll_a}
Chilean Pesos,{CLP}
CFU,[CFU]
Bytes,By
Byte,By
Btu,[Btu]
BP,{BP}
Absorbance unit,[AU]
API units,[API]
API,[API]
AD,{AD}
(eq),{eq}
(\\(eq\\)),{eq}
#,n
arcSec,''
arcMin,'
ac,[acr_us]
cmil,[cml_i]
kbps,kbit/s 
bps,bit/s
mbps,Mbit/s
ton/yd3,t/[cyd_i]
ton/yd,t/[yd_i]
lbm/m3,[lb_av]/m3
Gi,Gb
rem,REM
dry_gal,[gal_us]{dry}
bu,[bu_us]
pk,[pk_us]
dry_pt,[pt_us]{dry}
dry_qt,[qt_us]{dry}
Cal,cal
torr,[Torr]
inAq,[in_i'H2O]
inHg,[in_i'Hg]
KPa,kPa
utorr,m[Torr]
µtorr,u[Torr]
KHz,kHz
BPM,{beats}/min
milliH,mH
microH,uH
fath,[fth_i]
ly, [ly]
mil,[mi_us]
rd,[rd_us]
fur,[fur_us]
ch,[ch_us]
nmi/min,[nmi_i]/min
nmi/hr,[nmi_i]/h
mi/min,[mi_i]/min
cup,[cup_us]
lbm,[lb_av]
ton,t
ozm,[oz_av]
dwt,[pwt_tr]
Nm/ct,[car_m]
ton/hr,[ston_av]/h
lb/min,[lb_av]/min
grad,gon
hp/H2O,[HP]{water}
HP,[HP]
hp/V,[HP]{electric}
hp/m,[HP]{metric}
ohm,Ohm 
breaths/min,{breaths}/min
kcal/gm,kcal/g
kcal/(gm.degC),kcal/(g.Cel)
(K2)m/W,m2.K/W
microsec,us
fps,{frames}/s
tsp,[tsp_us]
Bf,[bf_i]
tbsp,[tbs_us]
bbl,[bbl_us]
pi,[pt_br]
yd3/min,[cyd_i]/min
gal/min,[gal_us]/min
in3/min,[cin_i]/min
microF, uF
